load_area,date,peak_hour_argmax,peak_hour_soft,peak_hour_prob,peak_hour_submit
AECO,2025-11-20,17,18,18,18
AEPAPT,2025-11-20,19,19,19,19
AEPIMP,2025-11-20,18,18,18,18
AEPKPT,2025-11-20,7,7,8,8
AEPOPT,2025-11-20,18,19,19,19
AP,2025-11-20,18,19,19,19
BC,2025-11-20,18,18,18,18
CE,2025-11-20,18,18,18,18
DAY,2025-11-20,19,19,18,18
DEOK,2025-11-20,18,19,19,19
DOM,2025-11-20,7,18,18,18
DPLCO,2025-11-20,18,18,18,18
DUQ,2025-11-20,17,17,18,18
EASTON,2025-11-20,18,18,18,18
EKPC,2025-11-20,8,8,7,7
JC,2025-11-20,17,18,18,18
ME,2025-11-20,17,18,18,18
OE,2025-11-20,17,18,18,18
OVEC,2025-11-20,21,21,20,20
PAPWR,2025-11-20,17,17,17,17
PE,2025-11-20,17,18,18,18
PEPCO,2025-11-20,17,18,18,18
PLCO,2025-11-20,17,18,18,18
PN,2025-11-20,17,18,17,17
PS,2025-11-20,17,18,18,18
RECO,2025-11-20,17,18,17,17
SMECO,2025-11-20,19,19,19,19
UGI,2025-11-20,17,18,18,18
VMEU,2025-11-20,17,17,17,17
